,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma20,ma_v_20,ma60,ma_v_60,key
0,002318.SZ,20180102,6.7125,6.8354,6.703,6.8165,6.703,0.11349999999999927,1.6933,48295.8,34626.807,,,,,,,0
1,002318.SZ,20180103,6.7976,6.8732,6.7881,6.8543,6.8165,0.03780000000000072,0.5545,50255.68,36383.888,,,,,,,1
2,002318.SZ,20180104,6.8543,6.9394,6.8165,6.8827,6.8543,0.028399999999999537,0.4143,50915.48,37117.124,,,,,,,2
3,002318.SZ,20180105,6.8448,6.9394,6.8354,6.911,6.8827,0.02829999999999977,0.4112,42177.82,30776.49,,,,,,,3
4,002318.SZ,20180108,6.8827,6.9205,6.8259,6.8921,6.911,-0.018899999999999473,-0.2735,39151.44,28418.96,6.8713,46159.244,,,,,4
5,002318.SZ,20180109,6.8638,6.9205,6.807,6.8259,6.8921,-0.06620000000000026,-0.9605,38179.82,27676.215,6.8732,44136.048,,,,,5
6,002318.SZ,20180110,6.8543,6.8732,6.7219,6.7503,6.8259,-0.07559999999999967,-1.1075,33953.73,24422.849,6.8524,40875.658,,,,,6
7,002318.SZ,20180111,6.7409,6.8827,6.7125,6.8543,6.7503,0.10400000000000009,1.5407,36377.05,26157.683,6.8467,37967.972,,,,,7
8,002318.SZ,20180112,6.8732,6.8827,6.7881,6.8259,6.8543,-0.028400000000000425,-0.4143,27737.61,20049.661,6.8297,35079.93,,,,,8
9,002318.SZ,20180115,6.7976,6.807,6.5234,6.6085,6.8259,-0.2173999999999996,-3.1849,77441.27,54358.563,6.773,42737.896,,,,,9
10,002318.SZ,20180116,6.599,6.6652,6.5423,6.599,6.6085,-0.009500000000000064,-0.1438,32000.31,22316.17,6.7276,41501.994,,,,,10
11,002318.SZ,20180117,6.6179,6.6841,6.5045,6.6652,6.599,0.06619999999999937,1.0032,39706.81,27803.121,6.7106,42652.61,,,,,11
12,002318.SZ,20180118,6.7125,6.7314,6.6463,6.6936,6.6652,0.028400000000000425,0.4261,35989.63,25460.423,6.6784,42575.126,,,,,12
13,002318.SZ,20180119,6.6463,6.7219,6.6085,6.6274,6.6936,-0.06620000000000026,-0.989,34466.5,24294.546,6.6387,43920.904,,,,,13
14,002318.SZ,20180122,6.6369,6.7314,6.6369,6.7125,6.6274,0.08510000000000062,1.2841,39745.22,28158.805,6.6595,36381.694,,,,,14
15,002318.SZ,20180123,6.6936,6.7219,6.6463,6.6936,6.7125,-0.01890000000000036,-0.2816,34841.91,24637.618,6.6785,36950.014,,,,,15
16,002318.SZ,20180124,6.6936,6.7314,6.6558,6.7219,6.6936,0.02829999999999977,0.4228,38025.05,26966.16,6.6898,36613.662,,,,,16
17,002318.SZ,20180125,6.7314,6.8732,6.7219,6.7976,6.7219,0.07570000000000032,1.1262,69870.39,50222.667,6.7106,43389.814,,,,,17
18,002318.SZ,20180126,6.7881,6.7976,6.7125,6.7314,6.7976,-0.06620000000000026,-0.9739,36400.0,25981.845,6.7314,43776.514,,,,,18
19,002318.SZ,20180129,6.7503,6.7976,6.6936,6.7125,6.7314,-0.018899999999999473,-0.2808,38288.0,27347.019,6.7314,43485.07,6.7588,42190.976,,,19
20,002318.SZ,20180130,6.7219,6.8165,6.7219,6.807,6.7125,0.09450000000000003,1.4078,52334.56,37527.663,6.7541,46983.6,6.7583,42392.914,,,20
