,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma20,ma_v_20,ma60,ma_v_60,key
0,601162.SH,20181019,1.901,2.2812,1.901,2.2812,1.5827,0.6985000000000001,44.1334,20156.67,5184.038,,,,,,,0
1,601162.SH,20181022,2.5111,2.5111,2.5111,2.5111,2.2812,0.22989999999999977,10.078,5803.58,1648.217,,,,,,,1
2,601162.SH,20181023,2.7586,2.7586,2.7586,2.7586,2.5111,0.24750000000000005,9.8562,19997.68,6239.276,,,,,,,2
3,601162.SH,20181024,3.0327,3.0327,3.0327,3.0327,2.7586,0.27410000000000023,9.9362,16387.58,5620.94,,,,,,,3
4,601162.SH,20181025,3.3333,3.3333,3.3333,3.3333,3.0327,0.30059999999999976,9.912,40759.15,15366.2,2.7834,20620.932,,,,,4
5,601162.SH,20181026,3.6693,3.6693,3.6693,3.6693,3.3333,0.33599999999999985,10.0801,15489.2,6428.018,3.061,19687.438,,,,,5
6,601162.SH,20181029,4.0407,4.0407,4.0407,4.0407,3.6693,0.3714000000000004,10.1218,22371.97,10223.99,3.3669,23001.116,,,,,6
7,601162.SH,20181030,4.4474,4.4474,4.4474,4.4474,4.0407,0.40669999999999984,10.0651,123328.52,62034.246,3.7047,43667.284,,,,,7
8,601162.SH,20181031,4.8895,4.8895,4.8895,4.8895,4.4474,0.44209999999999994,9.9406,47630.56,26339.7,4.076,49915.88,,,,,8
9,601162.SH,20181101,5.3758,5.3758,5.3758,5.3758,4.8895,0.48629999999999995,9.9458,23945.08,14558.609,4.4845,46553.066,,,,,9
10,601162.SH,20181102,5.9151,5.9151,5.9151,5.9151,5.3758,0.5392999999999999,10.032,37155.84,24857.257,4.9337,50886.394,,,,,10
11,601162.SH,20181105,6.5075,6.5075,6.5075,6.5075,5.9151,0.5924000000000005,10.015,45865.06,33756.684,5.4271,55585.012,,,,,11
12,601162.SH,20181106,7.1618,7.1618,6.7197,6.7816,6.5075,0.2740999999999998,4.2121,3812280.57,2988130.164,5.8939,793375.422,,,,,12
13,601162.SH,20181107,6.4633,6.6844,6.1981,6.5075,6.7816,-0.2740999999999998,-4.0418,2328514.45,1696514.211,6.2175,1249552.2,,,,,13
14,601162.SH,20181108,6.5429,6.5782,5.924,6.0124,6.5075,-0.4950999999999999,-7.6081,2388084.94,1676938.054,6.3448,1722380.172,,,,,14
15,601162.SH,20181109,5.8798,6.0831,5.7825,5.8621,6.0124,-0.15030000000000054,-2.4998,1399037.11,936963.702,6.3342,1994756.426,,,,,15
16,601162.SH,20181112,5.809,6.2688,5.7118,6.1273,5.8621,0.2652000000000001,4.524,1879384.79,1270041.53,6.2582,2361460.372,,,,,16
17,601162.SH,20181113,6.0035,6.6313,5.9593,6.2423,6.1273,0.11500000000000021,1.8768,2372927.9,1668199.228,6.1503,2073589.838,,,,,17
18,601162.SH,20181114,6.1096,6.2688,5.9328,5.977,6.2423,-0.26529999999999987,-4.25,1525311.67,1051580.594,6.0442,1912949.282,,,,,18
19,601162.SH,20181115,5.8886,6.313,5.8532,6.2069,5.977,0.22989999999999977,3.8464,1661290.9,1153075.898,6.0831,1767590.474,4.924,889286.161,,,19
20,601162.SH,20181116,6.1715,6.5075,6.0477,6.2334,6.2069,0.026499999999999524,0.4269,2017385.95,1432363.444,6.1574,1891260.242,5.1216,989147.625,,,20
21,601162.SH,20181119,6.145,6.8612,6.1185,6.8612,6.2334,0.6278000000000006,10.0716,1715305.29,1259026.279,6.3042,1858444.342,5.3391,1074622.7105,,,21
22,601162.SH,20181120,7.1264,7.5508,6.8966,7.0203,6.8612,0.15909999999999958,2.3188,2630291.77,2155687.291,6.4598,1909917.116,5.5522,1205137.415,,,22
23,601162.SH,20181121,7.1618,7.4359,6.7374,7.206,7.0203,0.18570000000000064,2.6452,2826167.91,2291316.998,6.7056,2170088.364,5.7608,1345626.4315,,,23
24,601162.SH,20181122,7.0911,7.206,6.5782,6.6313,7.206,-0.5747,-7.9753,2002577.95,1543384.112,6.7904,2238345.774,5.9257,1443717.3715,,,24
25,601162.SH,20181123,6.534,6.6667,6.0743,6.1273,6.6313,-0.5040000000000004,-7.6003,1513711.73,1084744.892,6.7692,2137610.93,6.0486,1518628.498,,,25
26,601162.SH,20181126,6.1273,6.1981,5.9505,6.1096,6.1273,-0.017699999999999605,-0.2889,899680.16,617622.647,6.6189,1974485.904,6.1521,1562493.9075,,,26
27,601162.SH,20181127,6.1627,6.1715,5.9151,6.0035,6.1096,-0.10610000000000053,-1.7366,808744.71,552164.952,6.4155,1610176.492,6.2299,1596764.717,,,27
28,601162.SH,20181128,5.9859,6.2776,5.9063,6.1008,6.0035,0.09729999999999972,1.6207,1301650.99,901624.956,6.1945,1305273.108,6.2904,1659465.7385,,,28
29,601162.SH,20181129,6.1273,6.145,5.4907,5.4907,6.1008,-0.6100999999999992,-10.0003,1435819.27,946006.401,5.9664,1191921.372,6.2962,1730059.448,,,29
30,601162.SH,20181130,5.3492,5.5084,5.084,5.42,5.4907,-0.07070000000000043,-1.2876,1369911.23,818458.31,5.8249,1163161.272,6.2714,1796697.2175,,,30
31,601162.SH,20181203,5.6852,5.6941,5.4642,5.5084,5.42,0.08840000000000003,1.631,1143498.84,720716.531,5.7047,1211925.008,6.2215,1851578.9065,,,31
32,601162.SH,20181204,5.4465,5.7471,5.4023,5.7294,5.5084,0.22100000000000009,4.0121,1047729.97,657860.562,5.6499,1259722.06,6.1689,1713351.3765,,,32
33,601162.SH,20181205,5.5438,5.6499,5.4996,5.5261,5.7294,-0.20330000000000048,-3.5484,756113.32,476184.007,5.5349,1150614.526,6.1198,1634731.32,,,33
34,601162.SH,20181206,5.4288,5.6322,5.4111,5.4907,5.5261,-0.03539999999999921,-0.6406,702770.3,439624.68,5.5349,1004004.732,6.0937,1550465.588,,,34
35,601162.SH,20181207,5.5084,5.6145,5.4642,5.5084,5.4907,0.017699999999999605,0.3224,517614.19,323442.175,5.5526,833545.324,6.076,1506394.442,,,35
36,601162.SH,20181210,5.3935,5.4553,5.2697,5.3139,5.5084,-0.19449999999999967,-3.531,551500.54,332990.771,5.5137,715145.664,6.0354,1440000.2295,,,36
