,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma20,ma_v_20,ma60,ma_v_60,key
0,600105.SH,20180102,4.8588,4.8588,4.7783,4.8149,4.771,0.04389999999999983,0.9201,48593.68,31958.028,,,,,,,0
1,600105.SH,20180103,4.8149,4.9247,4.7856,4.8881,4.8149,0.07319999999999993,1.5203,53992.06,35848.03,,,,,,,1
2,600105.SH,20180104,4.8661,4.9027,4.8369,4.8588,4.8881,-0.029300000000000104,-0.5994,43157.3,28680.106,,,,,,,2
3,600105.SH,20180105,4.8661,4.8808,4.8369,4.8808,4.8588,0.02200000000000024,0.4528,39761.63,26407.831,,,,,,,3
4,600105.SH,20180108,4.8954,4.8954,4.7783,4.8369,4.8808,-0.04389999999999983,-0.8994,45403.34,29960.898,4.8559,46181.602,,,,,4
5,600105.SH,20180109,4.8442,4.8442,4.7856,4.8076,4.8369,-0.029300000000000104,-0.6058,34632.59,22763.52,4.8544,43389.384,,,,,5
6,600105.SH,20180110,4.8076,4.8222,4.6832,4.7125,4.8076,-0.09509999999999952,-1.9781,44941.21,29046.88,4.8193,41579.214,,,,,6
7,600105.SH,20180111,4.6832,5.0856,4.6759,5.0198,4.7125,0.3072999999999997,6.521,135280.63,90788.896,4.8515,60003.88,,,,,7
8,600105.SH,20180112,4.9832,4.9905,4.8954,4.9027,5.0198,-0.11709999999999976,-2.3328,72085.22,48579.219,4.8559,66468.598,,,,,8
9,600105.SH,20180115,4.8734,4.8954,4.7271,4.7344,4.9027,-0.16830000000000034,-3.4328,64929.87,42340.705,4.8354,70373.904,,,,,9
10,600105.SH,20180116,4.7198,4.8734,4.6978,4.7856,4.7344,0.05119999999999969,1.0814,46356.31,30363.659,4.831,72718.648,,,,,10
11,600105.SH,20180117,4.7929,4.8588,4.7198,4.8295,4.7856,0.043900000000000716,0.9173,48980.07,32063.242,4.8544,73526.42,,,,,11
12,600105.SH,20180118,4.8734,4.8954,4.7929,4.8295,4.8295,0.0,0.0,47333.38,31324.238,4.8163,55936.97,,,,,12
13,600105.SH,20180119,4.771,4.8661,4.771,4.8588,4.8295,0.029299999999999216,0.6067,44773.13,29510.265,4.8076,50474.552,,,,,13
14,600105.SH,20180122,4.8954,4.9978,4.8588,4.932,4.8588,0.07320000000000082,1.5065,81464.11,55069.764,4.8471,53781.4,,,,,14
15,600105.SH,20180123,4.8808,5.0052,4.8808,4.9612,4.932,0.02919999999999945,0.5921,58265.04,39557.671,4.8822,56163.146,,,,,15
16,600105.SH,20180124,4.9686,5.0564,4.9027,5.0344,4.9612,0.07319999999999993,1.4754,65282.34,44532.51,4.9232,59423.6,,,,,16
17,600105.SH,20180125,5.0125,5.071,4.9539,4.9612,5.0344,-0.07319999999999993,-1.454,48157.0,33026.247,4.9495,59588.324,,,,,17
18,600105.SH,20180126,4.9686,5.0344,4.9247,4.9539,4.9612,-0.007299999999999862,-0.1471,30681.9,20879.92,4.9685,56770.078,,,,,18
