,ts_code,symbol,name,area,industry,list_date
1681,300283.SZ,300283,温州宏丰,浙江,电气设备,20120110
1396,002970.SZ,002970,锐明技术,深圳,通信设备,20191217
2815,600738.SH,600738,兰州民百,甘肃,百货,19960802
3058,601162.SH,601162,天风证券,湖北,证券,20181019
651,002197.SZ,002197,证通电子,深圳,电器仪表,20071218
1699,300301.SZ,300301,长方集团,深圳,半导体,20120321
1027,002577.SZ,002577,雷柏科技,深圳,IT设备,20110428
1745,300347.SZ,300347,泰格医药,浙江,医疗保健,20120817
219,000666.SZ,000666,经纬纺机,北京,多元金融,19961210
86,000420.SZ,000420,吉林化纤,吉林,化纤,19960802
1842,300446.SZ,300446,乐凯新材,河北,化工原料,20150423
318,000806.SZ,000806,ST银河,广西,生物制药,19980416
3016,601006.SH,601006,大秦铁路,山西,铁路,20060801
2889,600821.SH,600821,津劝业,天津,百货,19940128
2796,600719.SH,600719,大连热电,辽宁,供气供热,19960716
3393,603333.SH,603333,尚纬股份,四川,电气设备,20120507
1618,300220.SZ,300220,金运激光,湖北,元器件,20110525
3477,603586.SH,603586,金麒麟,山东,汽车配件,20170406
914,002462.SZ,002462,嘉事堂,北京,医药商业,20100818
1917,300521.SZ,300521,爱司凯,广东,专用机械,20160705
2136,300750.SZ,300750,宁德时代,福建,电气设备,20180611
1791,300395.SZ,300395,菲利华,湖北,玻璃,20140910
2637,600537.SH,600537,亿晶光电,浙江,半导体,20030123
1635,300237.SZ,300237,美晨生态,山东,建筑工程,20110629
2268,600084.SH,600084,*ST中葡,新疆,红黄酒,19970711
3103,601390.SH,601390,中国中铁,北京,建筑工程,20071203
2342,600169.SH,600169,太原重工,山西,工程机械,19980904
2233,600038.SH,600038,中直股份,黑龙江,航空,20001218
2260,600076.SH,600076,康欣新材,山东,其他建材,19970526
3154,601800.SH,601800,中国交建,北京,建筑工程,20120309
3426,603396.SH,603396,金辰股份,辽宁,专用机械,20171018
2089,300698.SZ,300698,万马科技,浙江,通信设备,20170831
2326,600151.SH,600151,航天机电,上海,汽车配件,19980605
187,000615.SZ,000615,京汉股份,湖北,全国地产,19961016
871,002419.SZ,002419,天虹股份,深圳,百货,20100601
596,002141.SZ,002141,贤丰控股,广东,元器件,20070720
3565,603727.SH,603727,博迈科,天津,石油开采,20161122
3125,601611.SH,601611,中国核建,上海,建筑工程,20160606
1148,002700.SZ,002700,新疆浩源,新疆,供气供热,20120921
2319,600141.SH,600141,兴发集团,湖北,化工原料,19990616
255,000712.SZ,000712,锦龙股份,广东,证券,19970415
1512,300112.SZ,300112,万讯自控,深圳,电器仪表,20100827
317,000803.SZ,000803,金宇车城,四川,电气设备,19980303
1721,300323.SZ,300323,华灿光电,湖北,半导体,20120601
1533,300133.SZ,300133,华策影视,浙江,影视音像,20101026
2332,600158.SH,600158,中体产业,天津,文教休闲,19980327
778,002326.SZ,002326,永太科技,浙江,化工原料,20091222
1361,002931.SZ,002931,锋龙股份,浙江,汽车配件,20180403
2887,600819.SH,600819,耀皮玻璃,上海,玻璃,19940128
686,002232.SZ,002232,启明信息,吉林,软件服务,20080509
3658,603917.SH,603917,合力科技,浙江,汽车配件,20171204
1694,300296.SZ,300296,利亚德,北京,半导体,20120315
212,000656.SZ,000656,金科股份,重庆,区域地产,19961128
2745,600662.SH,600662,强生控股,上海,公共交通,19930614
2540,600400.SH,600400,红豆股份,江苏,服饰,20010108
1021,002571.SZ,002571,德力股份,安徽,玻璃,20110412
813,002361.SZ,002361,神剑股份,安徽,化工原料,20100303
2933,600870.SH,600870,ST厦华,福建,家用电器,19950228
1532,300132.SZ,300132,青松股份,福建,化工原料,20101026
1097,002648.SZ,002648,卫星石化,浙江,化工原料,20111228
887,002435.SZ,002435,长江健康,江苏,化学制药,20100618
3526,603667.SH,603667,五洲新春,浙江,机械基件,20161025
2547,600415.SH,600415,小商品城,浙江,商品城,20020509
2651,600556.SH,600556,ST慧球,广西,软件服务,20010807
1354,002923.SZ,002923,润都股份,广东,化学制药,20180105
1317,002883.SZ,002883,中设股份,江苏,建筑工程,20170620
1816,300420.SZ,300420,五洋停车,江苏,机械基件,20150217
2542,600405.SH,600405,动力源,北京,电气设备,20040401
770,002318.SZ,002318,久立特材,浙江,特种钢,20091211
1676,300278.SZ,300278,华昌达,湖北,专用机械,20111216
560,002105.SZ,002105,信隆健康,深圳,文教休闲,20070112
126,000537.SZ,000537,广宇发展,天津,区域地产,19931210
2519,600377.SH,600377,宁沪高速,江苏,路桥,20010116
3614,603839.SH,603839,安正时尚,浙江,服饰,20170214
2356,600185.SH,600185,格力地产,广东,区域地产,19990611
1875,300479.SZ,300479,神思电子,山东,软件服务,20150612
1672,300274.SZ,300274,阳光电源,安徽,电气设备,20111102
3639,603887.SH,603887,城地股份,上海,建筑工程,20161010
3723,688022.SH,688022,瀚川智能,江苏,专用机械,20190722
2752,600671.SH,600671,天目药业,浙江,中成药,19930823
2695,600603.SH,600603,广汇物流,四川,仓储物流,19920113
2912,600847.SH,600847,万里股份,重庆,电气设备,19940324
36,000048.SZ,000048,康达尔,深圳,饲料,19941101
2118,300730.SZ,300730,科创信息,湖南,软件服务,20171205
1982,300589.SZ,300589,江龙船艇,广东,船舶,20170113
216,000662.SZ,000662,天夏智慧,广西,软件服务,19961216
2201,300822.SZ,300822,贝仕达克,深圳,元器件,20200313
2640,600540.SH,600540,新赛股份,新疆,种植业,20040107
103,000507.SZ,000507,珠海港,广东,港口,19930326
2017,300625.SZ,300625,三雄极光,广东,半导体,20170317
1480,300079.SZ,300079,数码科技,北京,通信设备,20100430
880,002428.SZ,002428,云南锗业,云南,小金属,20100608
3183,601918.SH,601918,新集能源,安徽,煤炭开采,20071219
1412,300009.SZ,300009,安科生物,安徽,生物制药,20091030
3179,601900.SH,601900,南方传媒,广东,出版业,20160215
1641,300243.SZ,300243,瑞丰高材,山东,化工原料,20110712
1650,300252.SZ,300252,金信诺,深圳,通信设备,20110818
3736,688066.SH,688066,航天宏图,北京,软件服务,20190722
327,000818.SZ,000818,航锦科技,辽宁,化工原料,19971017
3302,603157.SH,603157,拉夏贝尔,上海,服饰,20170925
1360,002930.SZ,002930,宏川智慧,广东,仓储物流,20180328
938,002487.SZ,002487,大金重工,辽宁,钢加工,20101015
1526,300126.SZ,300126,锐奇股份,上海,轻工机械,20101013
1757,300359.SZ,300359,全通教育,广东,文教休闲,20140121
1269,002831.SZ,002831,裕同科技,深圳,广告包装,20161216
2991,600978.SH,600978,宜华生活,广东,家居用品,20040824
2461,600308.SH,600308,华泰股份,山东,造纸,20000928
