,id,price,vertex
0,0.0,4.95,0.0
1,1.0,5.0,1.0
2,3.0,4.93,0.0
3,5.0,5.05,1.0
4,14.0,4.61,0.0
5,16.0,4.91,1.0
6,28.0,3.77,0.0
11,37.0,4.25,1.0
12,40.0,4.08,0.0
13,47.0,4.24,1.0
14,54.0,3.72,0.0
17,58.0,3.96,1.0
18,62.0,3.87,0.0
19,64.0,4.05,1.0
20,67.0,3.93,0.0
21,83.0,5.11,1.0
24,96.0,4.02,0.0
27,101.0,4.37,1.0
28,114.0,3.71,0.0
31,119.0,3.89,1.0
32,131.0,3.65,0.0
33,137.0,3.98,1.0
34,142.0,3.68,0.0
35,147.0,3.87,1.0
36,151.0,3.7,0.0
39,158.0,3.8,1.0
40,191.0,3.16,0.0
43,193.0,3.6,1.0
44,198.0,3.3,0.0
45,201.0,3.74,1.0
46,207.0,3.54,0.0
47,211.0,3.98,1.0
48,220.0,3.53,0.0
53,223.0,3.76,1.0
54,227.0,3.59,0.0
55,230.0,3.63,1.0
56,240.0,3.25,0.0
57,252.0,3.66,1.0
58,257.0,3.47,0.0
59,260.0,3.56,1.0
60,262.0,3.32,0.0
61,287.0,13.43,1.0
62,298.0,9.32,0.0
65,302.0,11.95,1.0
66,324.0,6.07,0.0
69,328.0,7.28,1.0
70,332.0,6.31,0.0
71,333.0,7.18,1.0
72,346.0,5.95,0.0
77,354.0,7.89,1.0
80,393.0,5.43,0.0
97,412.0,10.31,1.0
104,419.0,8.58,0.0
107,423.0,9.14,1.0
108,426.0,7.31,0.0
109,429.0,8.15,1.0
110,437.0,7.38,0.0
113,439.0,8.03,1.0
114,462.0,6.81,0.0
121,468.0,7.82,1.0
122,472.0,7.69,0.0
123,478.0,8.7,1.0
124,484.0,7.63,0.0
125,489.0,8.58,1.0
128,503.0,6.28,0.0
129,516.0,9.8,1.0
132,521.0,8.19,0.0
133,524.0,8.95,1.0
