,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma20,ma_v_20,ma60,ma_v_60
0,000001.SZ,20170103,8.7419,8.8091,8.7227,8.7899,8.7323,0.057599999999998985,0.6596,459840.49,420595.176,,,,,,
1,000001.SZ,20170104,8.7803,8.8091,8.7707,8.7899,8.7899,0.0,0.0,449329.53,411503.444,,,,,,
2,000001.SZ,20170105,8.7995,8.8091,8.7803,8.7995,8.7899,0.009600000000000719,0.1092,344372.91,315769.693,,,,,,
3,000001.SZ,20170106,8.7995,8.7995,8.7419,8.7611,8.7995,-0.038399999999999324,-0.4364,358154.2,327176.433,,,,,,
4,000001.SZ,20170109,8.7611,8.7995,8.7419,8.7803,8.7611,0.019199999999999662,0.2192,361081.57,329994.604,8.7841,394555.74,,,,
5,000001.SZ,20170110,8.7803,8.7899,8.7707,8.7803,8.7803,0.0,0.0,241053.95,220575.131,8.7822,350798.432,,,,
6,000001.SZ,20170111,8.7707,8.7995,8.7611,8.7707,8.7803,-0.009600000000000719,-0.1093,303430.89,277553.207,8.7784,321618.704,,,,
7,000001.SZ,20170112,8.7611,8.7995,8.7611,8.7803,8.7707,0.009600000000000719,0.1095,428006.77,391869.402,8.7745,338345.476,,,,
8,000001.SZ,20170113,8.7707,8.8187,8.7515,8.7899,8.7803,0.009599999999998943,0.1093,434301.37,397601.906,8.7803,353574.91,,,,
9,000001.SZ,20170116,8.7803,8.7899,8.7035,8.7707,8.7899,-0.019199999999999662,-0.2184,683165.86,623025.82,8.7784,417991.768,,,,
10,000001.SZ,20170117,8.7515,8.7899,8.7323,8.7803,8.7707,0.009600000000000719,0.1095,545552.37,498179.703,8.7784,478891.452,,,,
11,000001.SZ,20170118,8.7707,8.8187,8.7611,8.7995,8.7803,0.019199999999999662,0.2187,574269.39,526426.595,8.7841,533059.152,,,,
12,000001.SZ,20170119,8.7803,8.8667,8.7803,8.8091,8.7995,0.009600000000000719,0.1091,437712.86,402445.639,8.7899,535000.37,,,,
13,000001.SZ,20170120,8.7995,8.8571,8.7995,8.8475,8.8091,0.038399999999999324,0.4359,393328.57,361865.155,8.8014,526805.81,,,,
14,000001.SZ,20170123,8.8475,8.8858,8.8283,8.8475,8.8475,0.0,0.0,420299.31,388019.072,8.8168,474232.5,,,,
15,000001.SZ,20170124,8.8571,8.905,8.8283,8.8954,8.8475,0.047900000000000276,0.5414,470244.08,434787.729,8.8398,459170.842,,,,
16,000001.SZ,20170125,8.8954,8.905,8.8763,8.8858,8.8954,-0.009600000000000719,-0.1079,304401.96,281976.294,8.8571,405197.356,,,,
17,000001.SZ,20170126,8.8954,8.9626,8.8858,8.953,8.8858,0.0671999999999997,0.7563,420712.58,391844.286,8.8858,401797.3,,,,
18,000001.SZ,20170203,8.9626,8.9818,8.8571,8.8858,8.953,-0.0671999999999997,-0.7506,315472.24,292617.943,8.8935,386226.034,,,,
19,000001.SZ,20170206,8.8858,8.9434,8.8858,8.9338,8.8858,0.04800000000000004,0.5402,516786.11,480441.331,8.9108,405523.394,8.8225,423075.8505,,
20,000001.SZ,20170207,8.9338,8.9434,8.8954,8.9242,8.9338,-0.009599999999998943,-0.1075,396884.97,368755.274,8.9165,390851.572,8.8292,419928.0745,,
